score ; Cocktail ; n patient taking C ; n patient taking C and having AE ; RR
343.315;hmg coa reductase inhibitors;67774;217;15.5088
337.113;lipid modifying agents, plain;79540;227;14.1623
337.113;lipid modifying agents;79540;227;14.1623
227.745;simvastatin;19051;111;21.851
184.454;cardiovascular system;237354;266;5.70961
155.968;atorvastatin;31121;103;12.0907
145.011;simvastatin:atorvastatin;814;36;142.595
80.5794;hmg coa reductase inhibitors:nervous system;33251;72;7.37189
76.72;lipid modifying agents, plain:nervous system;38778;75;6.60423
76.72;lipid modifying agents:nervous system;38778;75;6.60423
74.8326;corticosteroids for systemic use, plain;56225;88;5.43853
73.8369;corticosteroids for systemic use;57008;88;5.36114
73.1773;hmg coa reductase inhibitors:analgesics;24628;60;8.12921
73.1197;ciclosporin:colchicine;42;12;879.438
73.1197;ciclosporin:preparations with no effect on uric acid metabolism;42;12;879.438
72.2428;lipid modifying agents, plain:analgesics;28119;63;7.50684
72.2428;lipid modifying agents:analgesics;28119;63;7.50684
72.1524;metformin:prasugrel:bisoprolol:simvastatin;9;9;3060.57
70.8531;metformin:platelet aggregation inhibitors excl. heparin:bisoprolol:simvastatin;29;11;1165.32
69.8501;metformin:prasugrel:bisoprolol:ramipril:analgesics;10;9;2754.51
69.8501;metformin:prasugrel:bisoprolol:ramipril:nervous system;10;9;2754.51
69.8501;metformin:prasugrel:bisoprolol:ramipril;10;9;2754.51
67.8509;calcineurin inhibitors:colchicine;62;12;595.741
67.8509;calcineurin inhibitors:preparations with no effect on uric acid metabolism;62;12;595.741
66.7596;metformin:prasugrel:bisoprolol:ace inhibitors, plain:nervous system;12;9;2295.43
66.7596;blood glucose lowering drugs, excl. insulins:prasugrel:ramipril:acetylsalicylic acid;12;9;2295.43
66.7596;blood glucose lowering drugs, excl. insulins:prasugrel:beta blocking agents:ramipril:lipid modifying agents;12;9;2295.43
66.7596;drugs used in diabetes:prasugrel:ramipril:acetylsalicylic acid;12;9;2295.43
66.7596;drugs used in diabetes:prasugrel:ramipril:salicylic acid and derivatives;12;9;2295.43
66.7596;drugs used in diabetes:prasugrel:ramipril:analgesics;12;9;2295.43
66.7596;drugs used in diabetes:prasugrel:beta blocking agents:ramipril:lipid modifying agents;12;9;2295.43
66.4919;glucocorticoids;54859;82;5.12977
65.5813;metformin:prasugrel:ramipril:nervous system;13;9;2118.85
64.5519;drugs used in diabetes:prasugrel:ramipril;14;9;1967.51
63.433;colchicine;1094;20;57.1063
63.433;preparations with no effect on uric acid metabolism;1094;20;57.1063
60.3407;lipid modifying agents:other analgesics and antipyretics;25978;55;6.98515
59.5648;metformin:prasugrel:bisoprolol:nervous system;21;9;1311.66
59.5194;systemic hormonal preparations, excl. sex hormones and insulins;110827;113;3.6207
58.6963;metformin:antithrombotic agents:bisoprolol:simvastatin;77;11;438.872
57.5372;ciclosporin:antigout preparations;139;12;265.713
57.5372;ciclosporin:antigout preparations;139;12;265.713
57.3414;hmg coa reductase inhibitors:antiinfectives for systemic use;5859;30;16.2623
56.6912;drugs used in diabetes:hmg coa reductase inhibitors;14924;42;9.10365
56.6729;telbivudine;149;12;247.879
55.13;lipid modifying agents, plain:acetylsalicylic acid;18380;45;7.95104
55.13;lipid modifying agents:acetylsalicylic acid;18380;45;7.95104
54.9262;lipid modifying agents:salicylic acid and derivatives;18475;45;7.90968
54.926;lipid modifying agents, plain:antiinfectives for systemic use;7015;31;14.0529
54.926;lipid modifying agents:antiinfectives for systemic use;7015;31;14.0529
54.8779;hmg coa reductase inhibitors:acetylsalicylic acid;16588;43;8.39371
54.4511;prasugrel:bisoprolol:salicylic acid and derivatives;64;10;479.107
54.3843;alimentary tract and metabolism:prasugrel:beta blocking agents:ramipril:lipid modifying agents;34;9;810.139
54.2843;prasugrel:bisoprolol:other analgesics and antipyretics;65;10;471.736
