score ; Cocktail ; n patient taking C ; n patient taking C and having AE ; RR 
52.2928;gonadotropinreleasing hormones:betalactamase inhibitors;1932;19;44.2699
52.2638;hypothalamic hormones:betalactamase inhibitors;1935;19;44.2006
52.2252;pituitary and hypothalamic hormones and analogues:betalactamase inhibitors;1939;19;44.1085
52.2156;gonadotropinreleasing hormones:betalactam antibacterials penicillins;1940;19;44.0855
52.005;systemic hormonal preparations excl sex hormones and insulins:betalactamase inhibitors;1962;19;43.5863
51.6468;hypothalamic hormones:betalactam antibacterials penicillins;2000;19;42.75
51.5723;gonadotropinreleasing hormones:antibacterials for systemic use;2008;19;42.578
51.2956;magnesium compounds:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;2038;19;41.9448
51.2956;magnesium compounds:2amino1phenylethanol derivatives:other dermatological preparations;2038;19;41.9448
51.2956;antacids:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;2038;19;41.9448
51.2956;drugs for acid related disorders:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;2038;19;41.9448
51.2865;magnesium compounds:2amino1phenylethanol derivatives:dermatologicals;2039;19;41.9241
51.2865;magnesium compounds:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2865;magnesium compounds:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2865;antacids:2amino1phenylethanol derivatives:other dermatological preparations;2039;19;41.9241
51.2865;antacids:2amino1phenylethanol derivatives:other dermatological preparations;2039;19;41.9241
51.2865;antacids:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2865;antacids:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2865;drugs for acid related disorders:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2865;drugs for acid related disorders:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2039;19;41.9241
51.2773;magnesium compounds:cardiovascular system:agents for dermatitis excluding corticosteroids;2040;19;41.9033
51.2773;drugs for acid related disorders:2amino1phenylethanol derivatives:other dermatological preparations;2040;19;41.9033
51.2773;drugs for acid related disorders:2amino1phenylethanol derivatives:other dermatological preparations;2040;19;41.9033
51.2682;magnesium compounds:peripheral vasodilators:other dermatological preparations;2041;19;41.8826
51.2682;magnesium compounds:peripheral vasodilators:other dermatological preparations;2041;19;41.8826
51.2682;magnesium compounds:peripheral vasodilators:other dermatological preparations;2041;19;41.8826
51.2682;magnesium compounds:peripheral vasodilators:other dermatological preparations;2041;19;41.8826
